Re_Sym_01,Re_Sym_02,Re_Sym_03,Re_Sym_04,Re_Sym_05,Re_Sym_06,Re_Sym_07,Re_Sym_08,Re_Sym_09,Re_Sym_10,Re_Sym_11,Re_Sym_12,Re_Sym_13,Re_Sym_14,Re_Sym_15,Re_Sym_16,Re_Sym_17,Re_Sym_18,Re_Sym_19,Re_Sym_20,Re_Sym_21,Re_Sym_22,Re_Sym_23,Re_Sym_24,Re_Sym_25,Re_Sym_26,Re_Sym_27,Re_Sym_28,Re_Sym_29,Re_Sym_30,Re_Sym_31,Re_Sym_32,Re_Sym_33,Re_Sym_34,Re_Sym_35,Re_Sym_36,Im_Sym_01,Im_Sym_02,Im_Sym_03,Im_Sym_04,Im_Sym_05,Im_Sym_06,Im_Sym_07,Im_Sym_08,Im_Sym_09,Im_Sym_10,Im_Sym_11,Im_Sym_12,Im_Sym_13,Im_Sym_14,Im_Sym_15,Im_Sym_16,Im_Sym_17,Im_Sym_18,Im_Sym_19,Im_Sym_20,Im_Sym_21,Im_Sym_22,Im_Sym_23,Im_Sym_24,Im_Sym_25,Im_Sym_26,Im_Sym_27,Im_Sym_28,Im_Sym_29,Im_Sym_30,Im_Sym_31,Im_Sym_32,Im_Sym_33,Im_Sym_34,Im_Sym_35,Im_Sym_36
0.35280705633906,0.356512828201041,0.356502572927741,-0.356136525110689,-0.351135456507441,0.353104632706252,-0.353001433155123,-0.357905369120999,-0.350296324206332,-0.355685962608099,-0.353923275923082,-0.355254991596667,0.356742717827748,-0.35214153467026,0.353942089506053,-0.354344688083205,0.355072870204883,-0.357891951054334,-0.352065018872024,0.349627331499215,0.358322056216426,0.352606026306825,0.358045901182969,0.353265698021247,0.353846787453229,-0.353444188876076,-0.356216981301398,-0.356962770644202,0.355045645020479,-0.354178448311842,-0.354658688831312,0.357491076206109,0.352908700932775,-0.35481486901989,-0.351130038132941,0.353179870043711,-0.354778439663252,0.35391027756357,-0.354293847133915,0.355885790940251,0.351293807051099,-0.352964960256565,-0.356128068712936,-0.351756383095261,-0.353707618859889,0.351557790516688,0.354845061614398,-0.351246453837631,-0.356942301267962,-0.350027547407853,0.351010763318889,0.351536277389426,-0.349856058828421,0.352833733780311,-0.353376312833902,0.352125949857353,0.350774005037704,-0.34993922600086,0.351893524055535,0.357639607960243,0.353859118024128,0.353266982002445,-0.350965029453395,-0.354448185518707,-0.357736236741267,-0.353002494680509,-0.355525333776879,-0.351734545025543,-0.351752354159771,0.353565058962031,-0.353806471962235,-0.354435987324622
-0.35438769377103,-0.355481583439445,-0.351584289542482,0.354425678085081,0.351720569136291,0.354511170695841,0.356144843443603,-0.352570233132752,0.353394504485665,0.354430041017702,0.354900351206329,-0.355398974089594,-0.351195109031994,-0.354501250789318,-0.357251589747255,-0.354036551540834,-0.35234833385075,-0.351625772016674,-0.354818356755711,0.353456890926509,-0.352373233596833,-0.351997143392935,-0.35506731323098,0.355503894105695,0.349972862789269,-0.349833801051551,-0.356752484290975,0.358431387047884,0.351112122143091,0.351599316532801,-0.350183920660508,0.353870014961957,-0.357735800257491,0.355206374968698,0.353119521097168,-0.34935416052277,0.349196668514535,0.359623794451867,-0.358589791557782,-0.354501668935644,-0.351492767845253,0.354690219373258,-0.358129083901468,0.35790525757968,-0.352554889113106,-0.353880184525236,-0.3586686969146,0.35839607694526,-0.356414702552365,-0.351449175855012,0.356565792354652,0.353451884461278,-0.353741208497539,-0.35557501816729,-0.351516191044496,-0.355610443870103,0.354977711748111,-0.35464073797281,0.357722632331548,-0.356876338256404,-0.349717690400509,-0.360141612937202,0.359919228943805,-0.358314583087036,0.355761237427961,-0.355819223453781,0.358413382223141,-0.359818205486379,0.35909007051546,0.351969460939857,0.357947240646266,-0.356267555896428
0.355834416179795,-0.352619550868408,0.356750360523569,-0.354425732051322,-0.357495990724261,-0.353785319751106,-0.353287870088096,-0.357167716982904,0.355400539471327,0.353339214893734,-0.352260461835429,0.35535362217855,0.357639607960243,0.350399019901113,0.355608165582541,-0.35345416274884,-0.358026371583767,-0.353987319515199,0.355610947726451,-0.35805829520665,0.357831740707193,0.356146880937903,-0.353748904082741,-0.358714430780094,0.357967191655747,-0.354326878948977,-0.358050459945186,0.358623327229191,0.354233551076753,-0.357122951772408,-0.354715501636877,0.357909259596168,-0.357665670502262,0.352946705854185,0.355163695480121,0.354132714446348,0.356228132517939,-0.356955021092759,-0.356335728183031,-0.353581026292473,0.354039386574124,0.354303598550868,0.353671991243973,0.357708172333739,0.353973512397459,0.352108280399386,-0.357068248482892,0.356054413380129,-0.356782980429361,0.352514626511493,0.353910473254085,0.357518355356753,-0.356156504599997,0.358582042006339,0.349970638467948,-0.351876272743896,-0.358804478889117,-0.350295665266744,-0.355709243006208,0.353704174665989,-0.350349760956476,0.35361589991132,-0.354427956372643,-0.353335827776477,-0.359234333910488,-0.350232344722834,0.353409344648963,0.355142024005667,0.354884820359663,0.352580893066928,-0.350529863859831,-0.357927711047065
-0.35192101394297,-0.355505018920794,-0.354074589821126,-0.353958067260814,-0.354213758414465,-0.355117961614627,-0.352548109293522,0.356768451058333,-0.354720061475954,0.353689799301341,0.357117426542286,-0.35529729169258,-0.355287317819816,0.357165438695342,0.353591000165237,-0.354831058806144,0.357801902945311,-0.354576991983125,-0.35648026226149,-0.356845797116923,-0.352213550626158,-0.358921452416396,0.357544141476719,0.356906923229682,0.352872234093735,0.356651943905,0.355947191205153,-0.355446327303062,-0.353045592315412,0.352224647876458,-0.35653610967601,-0.3544223454325,-0.351314329879805,-0.355014745579661,0.353393347926787,0.356613804507708,-0.355811027276185,0.356580407435701,-0.353697114008953,-0.350536425564418,-0.35842146714136,0.355595501512946,-0.355638508277631,-0.351969078985407,-0.351986888119635,0.353451884461278,0.354811471976748,-0.355055115036895,-0.352302359191994,-0.352857880590845,0.354829281110976,-0.35785355185791,0.357897508028237,-0.353874214026963,-0.350607160292994,-0.358492201869937,0.355418401494936,-0.354321407685096,-0.354011603567132,-0.355471328166145,0.356972946430068,0.353596418539737,-0.353261620858139,0.353116327043989,0.356711187285801,-0.354223577203989,-0.358183498335056,0.359464784968621,0.349813853306023,-0.352761240027498,-0.355448186367437,0.358211281342048
-0.352173288024545,-0.35898932845857,-0.349835972483491,0.353338555954146,0.353898440285617,-0.351557429600555,0.354849813800917,-0.352244091765638,-0.353918308515549,0.351357350050822,-0.351941536208591,-0.358968906746863,-0.35059384334333,-0.354134279828081,0.351401664294351,0.354337134222277,0.357614930171537,-0.355504451928284,0.355454263681526,0.350498992257473,0.355259440239309,-0.355359864960444,0.358789668117554,0.349937384197074,0.355506172393257,-0.355458160240201,-0.350094169358999,-0.358839904591931,0.356641151594009,-0.358347614902097,-0.350820074269975,-0.353661300049982,0.357772868805925,-0.358990251523635,0.359092193719782,-0.356916600858017,0.356530032361922,-0.354918223654258,-0.353475447336783,0.350330231357275,-0.352284843177324,-0.35837057222583,0.358724404652858,0.354190322933116,0.350328003772,-0.350095645905839,0.353879988834721,-0.357776062859104,0.35636891472063,0.349892284696662,-0.348466914951605,0.34865126066471,0.3583348122331,-0.355370336452499,0.354503092593104,-0.353136360499538,0.35219121906067,-0.357038060871043,-0.352261508812974,-0.358031012792052,0.35636891472063,0.350167182375138,0.357750659256673,0.355280105306064,0.356391071741204,0.354594996807868,0.352274380494487,-0.356717106252696,-0.35280919495036,-0.357048316144342,-0.356204394851156,0.355251503860845
-0.354281145083483,-0.356802205126683,-0.354430180693964,0.358098005724297,-0.358540160056752,-0.352568640906602,0.353786942363033,0.35500932720516,-0.357232932219981,0.355284806359337,0.353815107887561,0.354023383614891,0.353344129411886,0.359067759849209,0.349863585924052,0.355085403765744,-0.353583250613794,-0.35636601691188,-0.355752218739214,0.351828382492737,-0.353301176613442,-0.355105297545032,0.357554115349483,0.353148754384138,0.353889125352441,-0.352318082604303,0.356397186537694,-0.35450147324513,0.352625522724684,-0.356338092180614,-0.352555185357536,-0.359258730298659,-0.349047632904053,0.349206642387299,0.358086216673963,0.355615662723353,-0.358355815420507,0.358742159820845,-0.355541986352228,-0.354130196442385,0.35276568867014,0.357703150959965,-0.355793721998304,0.356676843651083,0.357491076206109,-0.35842683154962,-0.353209569206191,-0.353815608479955,-0.356373713573943,-0.356490428699897,0.354400395821463,-0.352188887883728,0.35545084660945,0.355734409604986,0.358194989682831,0.349188918963092,-0.350268158681805,-0.355922720889283,-0.353283421445454,-0.357071746643033,0.354589141949592,-0.352186764679406,-0.352805981226572,-0.352224802959698,0.354725979365988,-0.357107560602004,-0.354299149908226,-0.3526452480144,-0.352416743141006,0.352751766747128,0.35827815685527,0.353874043897447
-0.349926625067427,-0.3566348082582,-0.351807456924682,0.356577990548737,0.352822501475705,-0.35047871596065,0.351868187825676,-0.351255822737048,-0.355545180405408,0.353475111970007,-0.34937146580065,0.349218374207439,-0.351162681691845,-0.351134898684853,-0.359833980251179,-0.348714299808085,0.350192585977569,-0.352872291323929,-0.355511590767758,0.357006147811561,-0.354056536768765,0.350467065509718,0.357061633094007,0.357789805868225,-0.35842966658291,0.35538900021683,0.354666438382755,-0.357647861368033,-0.352918674805539,0.354933615901522,0.351269099870659,-0.354378223754614,0.356440643192487,-0.351191249955721,0.350401802045022,0.355448551624383,-0.356112623576291,-0.352750762298386,-0.358057791350302,0.357629304459324,-0.352052151584331,-0.354894293640033,-0.355453658708178,0.358358038664968,-0.359502877215154,-0.350460906826422,0.355065416897869,0.356772448734008,-0.355707725531197,0.356742610972126,-0.352411271877125,-0.355146026022155,-0.354185694006937,-0.354104878549975,-0.354086788015211,-0.354360569703626,-0.354963400774024,-0.351373371347505,0.352368701033131,-0.350615553377047,0.352375892761985,0.357655138806909,-0.355305126954045,0.353321210068991,-0.351561836075097,0.353568546697852,-0.354059420029673,0.35585275912519,-0.358829930719167,-0.349277712482652,-0.359941178554842,-0.348785873759786
0.357498407611225,-0.357324035770884,0.353177156912318,-0.357115756779601,-0.35346983639664,-0.355612721080805,0.357853912774042,0.352731733291579,0.358141405148895,-0.356232077304233,-0.350331479225715,-0.35917050951023,-0.35313205465803,-0.35520865325626,0.358164685547004,-0.355929774157817,0.356590381308465,-0.353530354974264,-0.350486189090041,-0.359712727647689,0.358635664022678,-0.35520865325626,-0.353622980879232,-0.355463632580942,0.357048687623876,-0.356189590381299,-0.351427003788163,0.355391054408635,0.357694849324556,-0.357857914790531,-0.35312663628353,-0.355134328420465,-0.35470316484339,-0.355163888045764,0.357111254170718,0.356908595467037,-0.349138736454956,0.349740558889348,-0.352864541772486,-0.35399582306371,0.354094575049057,-0.353614227673965,0.351312275124915,-0.353505507554477,0.354092451844735,0.353973512397459,0.355714027015627,0.350081185908031,0.359250534121062,0.350802123411473,-0.356629335354374,0.355975843390088,0.351686485721729,-0.355032385082808,0.351881309163945,0.355841230295012,-0.357766035020099,0.355055062147515,0.355143801700834,0.352567606072083,0.351959052223262,0.354916605383144,-0.355023445613605,0.355017023867223,0.3525480235835,0.3535225197128,0.350513972097033,-0.349339626810928,-0.357988471902877,0.351878115110766,0.35640464296958,0.351356900160715
-0.355131137631239,0.354513952839751,0.354016052209774,0.353207430594891,-0.350947916741157,0.35456479378904,0.350603966239815,0.35538900021683,-0.354367194439971,-0.354412875416084,0.355128913309917,0.35202649178166,-0.356861842244257,-0.35036376376473,0.352487650904726,-0.354064179464586,0.354624345196593,0.353556155938124,-0.349740505999968,0.348570216696593,-0.350172134375693,-0.355501616894994,0.354354003016381,-0.352552914369422,0.351316171683591,-0.354983338095232,-0.350196812164399,-0.358868021888839,0.356805549561586,0.350015868477094,0.358791892438875,-0.356444103830471,0.357215363879015,0.352689947476333,0.356155851719928,-0.357028793844589,-0.353660164529422,0.355704913432468,-0.352855602303283,-0.353604317114902,0.351267966964892,0.355684295032506,-0.354473690238138,-0.355731749362974,-0.350186556891099,0.350813715555351,0.352845628430519,-0.35295235015321,0.352725565744789,-0.351892837994123,0.353450266190164,0.354707613486032,0.354806519477758,0.354324654627656,-0.353697548852784,-0.357785760309816,-0.3529516433069,0.352214727969935,-0.356038798612403,0.35552523265988,0.353753406691624,-0.354399736881875,0.354003519725773,0.354130297559384,0.355815157328674,0.3496841547291,0.359877629471614,-0.358082357597689,0.352032761661391,-0.352693499320773,0.350940351664689,-0.353035283075871
-0.354942233155917,-0.353570966709688,-0.357526050941955,0.355352634173893,0.354508845257521,-0.353483950885295,-0.355451380420617,0.356541318054343,-0.355451380420617,-0.353483950885295,0.354518819130285,0.355380698581421,-0.357700926638644,-0.353378367588792,-0.353876268218768,0.35064761546025,0.355582660863111,0.354961027428981,0.354354439500157,0.353521485309239,0.355025378392013,-0.356484855242156,0.352039953390245,0.354747482350872,0.355481723115706,-0.35839607694526,0.359601676351258,0.350561930283848,-0.356136907065139,-0.354606728628008,0.357034212219089,-0.355136274605203,0.353886242091532,0.357905065014037,-0.355052783859953,-0.355689209550659,0.355175363986561,-0.355269971934661,0.357602266101941,-0.356902178342611,-0.350448150809749,-0.35647774169574,0.357611581035117,-0.354733980135012,-0.353704110557371,-0.355508862590089,-0.351751881563239,-0.356285056864823,-0.35040357974019,0.352709225857954,0.357843884935037,-0.356227628661591,-0.352105311428456,-0.35284568239676,0.353654543164959,-0.353620560867397,0.353762711200481,-0.351202944293458,-0.354526669798727,-0.358809897263618,-0.349042161640172,0.350237901696736,-0.353852763650318,0.356518439141184,0.355041855099224,-0.351474075601096,0.35224127966691,0.357561810934685,-0.35374343281886,-0.358659242305162,-0.350370902604204,-0.3546502863998
