SNR_dB,BER_LS,BER_noEq,NMSE_LS
5,0.815183104515276,0.501396941749031,1.00146405461868
10,0.500090125274131,4.50626370655211e-05,1.00085716368731
15,0.499984979120978,0.555487127106678,1.000707871136
20,0.499984979120978,0.5,1.00008046386393
25,0.499984979120978,7.51043951092018e-05,1.00047861419139
30,0.499984979120978,0.0103944482831135,1.00031390961217
